Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_111,"RTA Taxi Rank Sama Building , Al Barsha",Al Barsha 1,"مواقف مركبات الأجرة مبنى سما ، البرشاء",البرشاء 1,25.109234,55.203023,Taxi stand
TXR_112,RTA Taxi Rank Umm Suqeim Street,"Al Quoz, Umm Suqeim Road",مواقف مركبات الأجرة شارع ام سقيم,"القوز ، طريق أم سقيم",25.111982,55.218784,Taxi stand
TXR_113,RTA Taxi Rank Al Khail Gate ,Inside Al Khail Gate Area,مواقف مركبات الأجرة بوابة الخيل,داخل منطقة بوابة الخيل,25.139649,55.253557,Taxi stand
TXR_114,RTA Taxi Rank Dubai Offshore Sailing Club,Umm Squeim 1,مواقف مركبات الأجرة نادي دبي للإبحار البحري,أم سقيم 1,25.174446,55.21814,Taxi stand
TXR_115,"RTA Taxi Rank Ghoroob, Mirdif",Mirdif Area,"مواقف مركبات الأجرة غروب ، مردف",منطقة مردف,25.211504,55.417871,Taxi stand
TXR_116,RTA Taxi Rank Mankhool Road Near Standard Chartered Tower,Ak Mankhool Area,مواقف مركبات الأجرة طريق المنخول بالقرب من بنك ستاندرد تشارترد,منطقة أك منخول,25.25246,55.291681,Taxi stand
TXR_117,RTA Taxi Rank Garhoud Near Millennium Airport Hotel,Al Garhoud,مواقف مركبات الأجرة القرهود بالقرب من فندق ميلينيوم المطار,القرهود,25.250201,55.344459,Taxi stand
TXR_118,RTA Taxi Rank Deira City Center,Port Saeed,مواقف مركبات الأجرة ديرة سيتي سنتر,ميناء سعيد,25.253307,55.330206,Taxi stand
TXR_119,"RTA Taxi Rank Khaleej Road, Waterfront Market",Corniche Deira,"مواقف مركبات الأجرة شارع الخليج ، سوق الواجهة البحرية",كورنيش ديرة,25.291471,55.323995,Taxi stand
TXR_120,"RTA Taxi Rank Behind Sahara Center, Al Nahda 1",Al Nahda 1,"مواقف مركبات الأجرة خلف مركز صحارى ، النهدة 1",النهدة 1,25.296851,55.370199,Taxi stand
TXR_121,"RTA Taxi Rank Near Dubai Carmel School, Al Amman Street",Al Nahda 1,"مواقف مركبات الأجرة بالقرب من مدرسة دبي كرمل ، شارع عمان",النهدة 1,25.298405,55.380486,Taxi stand
TXR_122,RTA Taxi Rank Habtoor Ballroom Hotel,Sheikh Zayed Road,مواقف مركبات الأجرة حبتور بالاس,شارع الشيخ زايد,25.184263,55.254003,Taxi stand
TXR_123,RTA Taxi Rank Al Mamzar ,Khaleej Street,مواقف مركبات الأجرة الممزر,شارع الخليج,25.314621,55.342397,Taxi stand
TXR_124,"RTA Taxi Rank Mirdif, Uptown Shopping Centre",Mirdif,"مواقف مركبات الأجرة أبتاون مردف ، مركز تسوق ",مردف,25.224303,55.424004,Taxi stand
TXR_125,RTA Taxi Rank Vida Downtown Dubai,Downtown,مواقف مركبات الأجرة فيدا داون تاون دبي,وسط المدينة,25.18993,55.27416,Taxi stand
TXR_126,RTA Taxi Rank Shangri-La Hotel,Sheikh Zayed Road,مواقف مركبات الأجرة فندق شانغريلا,شارع الشيخ زايد,25.208492,55.272459,Taxi stand
TXR_127,RTA Taxi Rank Gloria Hotel ,Al Sufouh 2,مواقف مركبات الأجرة فندق جلوريا,الصفوح 2,25.103122,55.17139,Taxi stand
TXR_128,RTA Taxi Rank Grand Millennium Hotel Dubai,Barsha Heights,مواقف مركبات الأجرة فندق جراند ميلينيوم دبي,البرشاء,25.101627,55.177249,Taxi stand
TXR_129,RTA Taxi Rank Oasis Center,Al Quoz 1,مواقف مركبات الأجرة مركز الواحة,القوز 1,25.170001,55.24116,Taxi stand
TXR_130,RTA Taxi Rank Rashid Hospital,Umm Hurair 2,مواقف مركبات الأجرة مستشفى راشد,أم هرير 2,25.244677,55.318101,Taxi stand
